	Amado 2004			Hamer Wu 1972	Robinson Stokes 1959	Snipes 1975				Hostetler 1967			Amado+Hostetler	Amado	Hamer Wu + Snipes	Snipes	Snipes + Hostetler	Snipes
b (mol/kg)	10	15	25	25	25	25	40	50	60	10	50	b (mol/kg)	10	15	25	40	50	60
0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
0.1	0.769	0.772	0.766	0.767	0.767	0.77	0.767	0.764	0.76	0.77	0.761	0.1	0.7695	0.772	0.7685	0.767	0.7625	0.76
0.2	0.718	0.719	0.715	0.716	0.716	0.718	0.715	0.712	0.708	0.719	0.709	0.2	0.7185	0.719	0.717	0.715	0.7105	0.708
0.3	0.686	0.688	0.684	0.685	0.685	0.688	0.685	0.682	0.679	0.687	0.68	0.3	0.6865	0.688	0.6865	0.685	0.681	0.679
0.4	0.663	0.666	0.662	0.664	0.663	0.666	0.664	0.661	0.658	0.663	0.661	0.4	0.663	0.666	0.665	0.664	0.661	0.658
0.5	0.646	0.648	0.646	0.648	0.647	0.649	0.648	0.645	0.642	0.647	0.645	0.5	0.6465	0.648	0.6485	0.648	0.645	0.642
0.6	0.632	0.635	0.633	0.635	0.634	0.637	0.636	0.634	0.63	0.632	0.634	0.6	0.632	0.635	0.636	0.636	0.634	0.63
0.7	0.621	0.623	0.623	0.624	0.624	0.626	0.626	0.624	0.621	0.621	0.623	0.7	0.621	0.623	0.625	0.626	0.6235	0.621
0.8	0.612	0.614	0.615	0.616	0.615	0.618	0.619	0.617	0.614	0.612	0.617	0.8	0.612	0.614	0.617	0.619	0.617	0.614
0.9	0.604	0.605	0.608	0.609	0.608	0.61	0.611	0.61	0.606	0.604	0.61	0.9	0.604	0.605	0.6095	0.611	0.61	0.606
1	0.597					0.604	0.606	0.604	0.601	0.596	0.602	1	0.5965		0.604	0.606	0.603	0.601
1.2						0.593	0.596	0.595	0.592			1.2			0.593	0.596	0.595	0.592
1.4						0.586	0.59	0.59	0.587			1.4			0.586	0.59	0.59	0.587
1.6						0.58	0.585	0.585	0.583			1.6			0.58	0.585	0.585	0.583
1.8						0.576	0.582	0.582	0.58			1.8			0.576	0.582	0.582	0.58
2						0.573	0.58	0.581	0.579			2			0.573	0.58	0.581	0.579
2.5						0.569	0.578	0.579	0.578			2.5			0.569	0.578	0.579	0.578
3						0.569	0.58	0.582	0.581			3			0.569	0.58	0.582	0.581
3.5						0.572	0.584	0.587	0.586			3.5			0.572	0.584	0.587	0.586
4						0.577	0.59	0.593	0.593			4			0.577	0.59	0.593	0.593
